"","Author","rel_fit","sm_magnitude"
"222","Volis_et_al.",0.967403958091,"1"
"232","Volis_et_al.",0.979423868313,"1"
"223","Volis_et_al.",0.991668770512,"1"
"225","Volis_et_al.",0.996718000505,"1"
"235","Volis_et_al.",1,"1"
"236","Volis_et_al.",1,"1"
"237","Volis_et_al.",1,"1"
"238","Volis_et_al.",1,"1"
"226","Volis_et_al.",1.00479676849,"1"
"224","Volis_et_al.",1.00681646049,"1"
"221","Volis_et_al.",1.0151338766,"1"
"211","Volis_et_al.",1.01515151515,"2"
"239","Volis_et_al.",1.02118968598,"1"
"240","Volis_et_al.",1.02118968598,"1"
"241","Volis_et_al.",1.02118968598,"1"
"208","Volis_et_al.",1.02189781022,"2"
"220","Volis_et_al.",1.05122235157,"1"
"192","Volis_et_al.",1.05179282869,"2"
"212","Volis_et_al.",1.07575757576,"2"
"210","Volis_et_al.",1.09489051095,"2"
"204","Volis_et_al.",1.12195121951,"2"
"196","Volis_et_al.",1.12635379061,"2"
"214","Volis_et_al.",1.15151515152,"2"
"203","Volis_et_al.",1.31707317073,"2"
"200","Volis_et_al.",1.34529147982,"3"
"229","Volis_et_al.",1.35968379447,"1"
"234","Volis_et_al.",1.37174211248,"1"
"195","Volis_et_al.",1.42960288809,"2"
"218","Volis_et_al.",1.50474183351,"1"
"216","Volis_et_al.",1.51738672287,"1"
"230","Volis_et_al.",1.68492377188,"1"
"247","Volis_et_al.",2,"1"
"191","Volis_et_al.",2.10358565737,"2"
"283","Volis_et_al.2",0.333333333333,"1"
"281","Volis_et_al.2",0.35,"2"
"272","Volis_et_al.2",0.809523809524,"2"
"276","Volis_et_al.2",0.871165644172,"1"
"270","Volis_et_al.2",0.904761904762,"1"
"267","Volis_et_al.2",0.907692307692,"1"
"277","Volis_et_al.2",0.953488372093,"1"
"285","Volis_et_al.2",0.956043956044,"1"
"288","Volis_et_al.2",0.974093264249,"1"
"273","Volis_et_al.2",0.980392156863,"2"
"279","Volis_et_al.2",1,"1"
"280","Volis_et_al.2",1,"1"
"274","Volis_et_al.2",1.01960784314,"2"
"287","Volis_et_al.2",1.02590673575,"1"
"286","Volis_et_al.2",1.04395604396,"1"
"278","Volis_et_al.2",1.04651162791,"1"
"268","Volis_et_al.2",1.09230769231,"1"
"269","Volis_et_al.2",1.09523809524,"1"
"275","Volis_et_al.2",1.12883435583,"1"
"271","Volis_et_al.2",1.19047619048,"2"
"282","Volis_et_al.2",1.65,"2"
"284","Volis_et_al.2",1.66666666667,"1"
"669","Wangetal",0.494117647059,"1"
"672","Wangetal",0.521739130435,"1"
"675","Wangetal",0.696428571429,"1"
"670","Wangetal",0.704347826087,"1"
